次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
147,8,7,8,7,7
148,5,5,7,7,6
149,5,5,5,5,5
150,6,7,7,7,7
151,5,5,5,5,5
152,6,7,6,6,6
153,7,7,7,6,6
154,7,7,8,7,7
155,9,9,9,8,9
156,7,6,6,7,6
157,3,3,3,6,6
158,6,6,7,6,7
159,5,5,7,6,6
160,5,5,5,5,5
161,8,8,8,8,8
162,8,8,8,8,8
163,8,8,8,7,8
164,6,7,7,7,7
165,8,8,8,8,8
166,9,9,9,9,9
167,9,9,9,7,8
168,6,6,7,6,7
169,7,7,7,7,7
170,6,6,6,6,6
171,6,6,7,6,7
172,6,6,6,6,6
173,4,4,4,4,3
174,5,5,5,5,5
175,5,5,5,4,5
176,8,9,8,7,8
177,7,7,7,6,6
178,8,8,8,8,7
179,6,6,7,7,7
180,5,5,5,7,7
181,9,10,10,7,10
182,6,6,6,4,6
