次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
108,9,9,9,7,7
109,7,7,7,7,7
110,3,3,7,4,6
111,7,7,7,7,7
112,5,6,8,7,7
113,9,9,8,7,8
114,9,9,10,10,10
115,5,5,8,7,8
116,6,5,6,6,6
117,7,8,8,6,7
118,2,2,4,4,4
119,8,8,8,8,8
120,6,7,6,6,6
121,7,7,8,8,8
122,6,6,6,6,6
123,8,8,8,8,8
124,8,9,9,8,9
125,7,8,7,7,7
126,9,9,11,12,11
127,4,4,5,5,5
128,8,8,8,6,8
129,6,6,7,7,8
130,7,5,3,4,5
131,3,3,4,4,4
132,5,5,6,6,7
133,7,8,9,6,7
134,4,3,5,5,6
135,7,7,8,7,7
136,8,8,8,7,8
137,7,7,7,7,7
138,6,6,7,7,7
139,6,6,6,6,6
140,8,8,7,8,8
141,7,7,7,7,7
142,6,6,6,7,7
143,8,8,9,9,9
144,5,6,5,5,5
145,6,6,7,7,7
146,5,5,6,6,6
147,7,7,7,7,7
148,6,6,6,7,6
149,9,9,9,9,9
150,9,9,9,7,9
151,7,7,8,7,7
152,6,6,6,6,6
153,5,6,6,6,7
154,6,7,7,7,7
155,6,6,7,7,7
156,6,6,6,5,6
157,8,8,7,8,7
158,6,6,6,6,6
159,4,5,6,5,6
160,5,5,7,6,6
161,8,8,8,8,10
162,7,7,8,8,7
163,6,6,7,7,7
164,8,8,8,8,8
165,8,8,8,7,8
166,6,6,6,6,6
167,8,8,8,8,8
168,8,8,8,8,8
169,8,7,8,7,8
170,4,5,5,6,6
171,6,7,8,8,7
172,6,6,8,7,8
173,7,7,7,8,8
174,7,7,8,7,7
175,8,8,8,8,8
176,7,7,7,8,7
177,6,6,5,5,5
178,4,4,5,4,4
179,9,9,8,8,7
180,6,6,6,6,6
181,8,7,8,7,7
182,7,7,6,7,7
183,7,7,7,6,8
184,7,7,7,7,7
185,5,5,2,4,4
186,7,7,8,8,8
187,4,4,5,4,6
188,7,7,7,6,7
189,8,8,7,7,7
190,8,8,7,6,8
191,8,8,8,8,8
192,7,7,8,7,8
193,7,7,7,7,7
194,6,5,6,6,7
195,5,4,5,5,5
196,3,3,5,6,6
197,3,3,5,4,4
198,8,8,8,8,8
