次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
110,8,8,8,8,8
111,8,8,8,8,8
112,6,6,7,6,7
113,7,7,7,7,7
114,8,8,8,8,8
115,7,7,7,7,7
116,8,8,8,7,8
117,7,7,7,7,8
118,7,7,7,7,7
119,7,7,7,7,7
120,9,9,9,8,8
121,9,9,8,8,8
122,8,8,8,8,8
123,7,7,7,7,7
124,8,8,8,7,8
125,8,8,8,8,8
126,7,7,7,6,7
127,7,7,7,6,7
128,8,8,8,7,8
129,7,7,7,7,7
130,7,7,7,7,7
131,7,7,7,6,7
132,7,7,8,7,7
133,7,7,7,7,7
134,7,6,7,6,6
135,7,7,7,7,7
136,6,6,6,6,6
137,7,7,7,7,7
138,7,7,7,7,7
139,8,8,8,8,8
140,8,8,8,8,8
141,7,7,7,7,7
142,7,7,6,7,6
143,9,9,9,9,9
144,8,8,8,7,8
145,8,7,8,5,8
146,7,7,7,7,7
147,7,6,7,6,7
148,8,8,8,8,8
149,8,8,8,8,8
150,5,5,6,7,6
151,7,7,7,7,7
152,7,7,6,6,6
153,8,8,8,8,8
154,8,8,8,8,8
155,8,8,8,8,8
156,5,5,5,5,5
157,8,8,8,8,8
158,8,8,8,7,8
159,7,7,7,7,7
160,8,7,8,7,7
161,7,7,8,7,9
162,8,8,8,6,7
163,9,9,9,9,9
164,9,9,9,8,9
165,7,7,7,6,7
166,7,7,7,7,7
167,8,8,8,7,8
168,6,6,6,6,6
169,6,6,6,6,6
170,9,9,9,8,9
171,9,9,9,8,9
172,6,6,6,6,6
173,7,6,7,6,7
174,7,6,5,6,5
175,10,10,10,10,10
