次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
164,8,8,8,8,8
165,10,10,10,10,10
166,8,8,8,8,8
167,6,6,6,6,6
168,7,7,6,7,6
169,8,9,9,9,9
170,8,9,9,9,9
171,7,7,7,7,7
172,9,9,9,9,9
173,9,9,9,9,9
174,7,10,10,10,10
175,9,9,9,9,9
176,8,8,8,8,8
177,9,9,9,9,9
178,8,8,8,8,8
179,8,8,8,8,8
180,7,7,7,7,7
181,8,8,8,8,8
182,7,7,7,7,7
183,8,8,8,8,8
184,8,9,9,9,9
185,9,9,9,9,9
186,7,7,7,6,7
187,7,7,7,7,7
188,7,7,7,7,7
189,7,7,7,7,7
190,8,8,8,8,8
191,6,6,6,6,6
192,7,7,7,7,7
193,8,9,9,8,9
194,8,8,8,8,8
195,8,8,8,8,8
196,5,5,7,5,7
197,7,7,7,7,7
198,8,8,8,8,8
199,8,8,8,8,7
